,tr,Sentence,tr,index,tr_shift,prev_tr,story_section,n_tokens,lemma,pos,tag,dep_rel,dep_head
0,0,This is Los Angeles.,0,A1.1,,,A1,2225,"['this', 'be', 'Los', 'Angeles', '.']","['DET', 'AUX', 'PROPN', 'PROPN', 'PUNCT']","['DT', 'VBZ', 'NNP', 'NNP', '.']","['nsubj', 'ROOT', 'compound', 'attr', 'punct']","['is', 'is', 'Angeles', 'is', 'is']"
1,1,And it's the height of summer.,1,A1.2,1.0,0.0,A1,2225,"['and', '-PRON-', 'be', 'the', 'height', 'of', 'summer', '.']","['CCONJ', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['CC', 'PRP', 'VBZ', 'DT', 'NN', 'IN', 'NN', '.']","['cc', 'nsubj', 'ROOT', 'det', 'attr', 'prep', 'pobj', 'punct']","[""'s"", ""'s"", ""'s"", 'height', ""'s"", 'height', 'of', ""'s""]"
2,2,In a small bungalow,2,A1.3,1.0,1.0,A1,2225,"['in', 'a', 'small', 'bungalow']","['ADP', 'DET', 'ADJ', 'NOUN']","['IN', 'DT', 'JJ', 'NN']","['prep', 'det', 'amod', 'pobj']","['serves', 'bungalow', 'bungalow', 'In']"
3,3,"off of La Cienega,",3,A1.3,1.0,2.0,A1,2225,"['off', 'of', 'La', 'Cienega', ',']","['ADP', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","['IN', 'IN', 'NNP', 'NNP', ',']","['prep', 'prep', 'compound', 'pobj', 'punct']","['bungalow', 'off', 'Cienega', 'of', 'serves']"
4,4,Clara serves homemade chili,4,A1.3,1.0,3.0,A1,2225,"['Clara', 'serve', 'homemade', 'chili']","['PROPN', 'VERB', 'ADJ', 'NOUN']","['NNP', 'VBZ', 'JJ', 'NNS']","['nsubj', 'ROOT', 'amod', 'dobj']","['serves', 'serves', 'chili', 'serves']"
5,5,and chips in red,5,A1.3,1.0,4.0,A1,2225,"['and', 'chip', 'in', 'red']","['CCONJ', 'NOUN', 'ADP', 'ADJ']","['CC', 'NNS', 'IN', 'JJ']","['cc', 'conj', 'prep', 'amod']","['chili', 'chili', 'chili', 'bowls']"
6,6,plastic bowls -- wine,6,A1.3,1.0,5.0,A1,2225,"['plastic', 'bowl', '--', 'wine']","['NOUN', 'NOUN', 'PUNCT', 'NOUN']","['NN', 'NNS', ':', 'NN']","['compound', 'pobj', 'punct', 'appos']","['bowls', 'in', 'bowls', 'bowls']"
7,7,in blue plastic.,7,A1.3,1.0,6.0,A1,2225,"['in', 'blue', 'plastic', '.']","['ADP', 'ADJ', 'NOUN', 'PUNCT']","['IN', 'JJ', 'NN', '.']","['prep', 'amod', 'pobj', 'punct']","['wine', 'plastic', 'in', 'serves']"
8,8,The colors don't match and the cups,8,A1.4,1.0,7.0,A1,2225,"['the', 'color', 'do', 'not', 'match', 'and', 'the', 'cup']","['DET', 'NOUN', 'AUX', 'PART', 'VERB', 'CCONJ', 'DET', 'NOUN']","['DT', 'NNS', 'VBP', 'RB', 'VB', 'CC', 'DT', 'NNS']","['det', 'nsubj', 'aux', 'neg', 'ROOT', 'cc', 'det', 'nsubj']","['colors', 'match', 'match', 'match', 'match', 'match', 'cups', 'are']"
9,9,are too big to serve wine.,9,A1.4,1.0,8.0,A1,2225,"['be', 'too', 'big', 'to', 'serve', 'wine', '.']","['AUX', 'ADV', 'ADJ', 'PART', 'VERB', 'NOUN', 'PUNCT']","['VBP', 'RB', 'JJ', 'TO', 'VB', 'NN', '.']","['conj', 'advmod', 'acomp', 'aux', 'xcomp', 'dobj', 'punct']","['match', 'big', 'are', 'serve', 'big', 'serve', 'are']"
