This,this,0.85,0.98
is,is,0.98,1.13
a,a,1.13,1.2
story,story,1.2,1.77
that,that,2.21,2.38
I,i,2.38,2.46
wrote,wrote,2.46,3.0
called,called,3.97,4.54
The,the,5.37,5.49
Man,man,5.49,6.0
who,who,6.75,6.89
Forgot,forgot,6.89,7.58
Ray,ray,7.87,8.13
Bradbury,bradbury,8.13,8.75
and,and,9.54,9.68
I,i,9.679999,9.759999
wrote,wrote,9.76,10.07
it,it,10.07,10.5
as,as,10.59,10.75
a,a,10.75,10.81
birthday,birthday,10.82,11.22
present,present,11.219999,11.879999
for,for,12.57,12.73
Ray,ray,12.73,13.110000000000001
on,on,13.719999,13.869999
his,his,13.87,14.049999999999999
91st,<unk>,14.049999,14.999998999999999
birthday,birthday,15.0,15.41
It,it,17.309999,17.449999000000002
begins,begins,17.449999,17.839999
like,like,17.84,18.06
this,this,18.209999999999997,18.47
I,i,21.34,21.47
am,am,21.47,21.61
forgetting,forgetting,21.61,22.14
things,things,22.14,22.64
which,which,23.759999999999998,24.02
scares,scares,24.02,24.46
me,me,24.5,24.73
I,i,26.33,26.459999999999997
am,am,26.46,26.6
losing,losing,26.599999,26.969999
words,words,26.97,27.65
although,although,27.8,28.14
I'm,i'm,28.139999,28.299999
not,not,28.3,28.490000000000002
losing,losing,28.490000000000002,28.810000000000002
concepts,concepts,28.82,29.62
I,i,30.25,30.43
hope,hope,30.429999000000002,30.779999000000004
that,that,31.15,31.34
I'm,i'm,31.34,31.46
not,not,31.46,31.580000000000002
losing,losing,31.599999,31.899999
concepts,concepts,31.9,32.629999999999995
If,if,33.339999,33.539999
I,i,33.54,33.62
am,am,33.62,33.8
losing,losing,33.799999,34.089999
concepts,concepts,34.09,34.660000000000004
I,i,34.719999,34.849999000000004
am,am,34.85,34.95
not,not,34.949999,35.099999
aware,aware,35.109999,35.409999
of,of,35.41,35.519999999999996
it,it,35.519999999999996,35.779999999999994
If,if,35.82,36.02
I,i,36.019999999999996,36.099999999999994
am,am,36.1,36.24
losing,losing,36.24,36.53
concepts,concepts,36.53,36.97
how,how,36.97,37.15
would,would,37.15,37.309999999999995
I,i,37.31,37.410000000000004
know,know,37.41,37.769999999999996
Which,which,39.14,39.35
is,is,39.35,39.47
funny,funny,39.47,39.87
because,because,40.44,40.78
my,my,40.8,40.949999999999996
memory,memory,40.95,41.290000000000006
was,was,41.29,41.44
always,always,41.44,41.68
so,so,41.69,41.89
good,good,41.89,42.32
Everything,everything,43.3,43.739999999999995
was,was,43.74,43.870000000000005
in,in,43.87,44.019999999999996
there,there,44.019999999999996,44.339999999999996
Sometimes,sometimes,44.67,45.21
my,my,45.21,45.36
memory,memory,45.36,45.7
was,was,45.7,45.900000000000006
so,so,45.91,46.15
good,good,46.15,46.42
that,that,46.429999,46.609999
I,i,46.62,46.76
even,even,46.76,47.05
thought,thought,47.08,47.44
that,that,47.730000000000004,47.89
I,i,47.889999,47.959999
could,could,47.96,48.15
remember,remember,48.15,48.51
things,things,48.509999,48.869999
I,i,48.92,49.010000000000005
didn't,didn't,49.009999,49.249999
know,know,49.25,49.45
yet,yet,49.45,50.03
Remembering,remembering,50.9,51.39
forward,forward,51.389999,51.949999000000005
I,i,53.719999,53.809999000000005
don't,don't,53.809999000000005,54.029999000000004
think,think,54.029999000000004,54.29999900000001
there's,there's,54.299999,54.459998999999996
a,a,54.46,54.53
word,word,54.53,54.800000000000004
for,for,54.8,54.919999999999995
that,that,54.92,55.15
is,is,55.41,55.61
there,there,55.61,55.86
Remembering,remembering,56.45,56.93
things,things,56.95,57.2
that,that,57.2,57.25
haven't,haven't,57.26,57.55
happened,happened,57.56,57.900000000000006
yet,yet,57.9,58.33
I,i,59.15,59.24
don't,don't,59.24,59.45
have,have,59.46,59.67
that,that,59.67,59.82
feeling,feeling,59.86,60.32
I,i,60.32,60.410000000000004
get,get,60.42,60.63
when,when,60.65,60.82
I,i,60.82,60.88
go,go,60.88,61.050000000000004
looking,looking,61.05,61.4
in,in,61.4,61.5
my,my,61.5,61.69
head,head,61.69,61.93
for,for,61.93,62.05
a,a,62.05,62.14
word,word,62.139999,62.609999
that,that,63.03,63.18
isn't,isn't,63.179999,63.459999
there,there,63.46,63.83
as,as,64.08,64.22
if,if,64.219999,64.549999
someone,someone,64.84,65.18
must,must,65.179999,65.38999899999999
have,have,65.389999,65.50999900000001
come,come,65.52,65.74
and,and,65.74,65.89
taken,taken,65.91,66.28999999999999
it,it,66.28999999999999,66.39999999999999
in,,,
the,the,66.49,66.61999999999999
night,night,66.62,67.08
When,when,68.95,69.13000000000001
I,i,69.13,69.19
was,was,69.19,69.36
a,a,69.36,69.42999999999999
young,young,69.429999,69.66999899999999
man,man,69.67,69.96000000000001
I,i,70.9,71.0
lived,lived,71.0,71.21
in,in,71.209999,71.30999899999999
a,a,71.309999,71.359999
big,big,71.359999,71.659999
shared,shared,71.66,72.13
house,house,72.13,72.82
I,i,73.81,73.9
was,was,73.9,74.05000000000001
a,a,74.05,74.13
student,student,74.13,74.63
then,then,74.67,74.98
We,we,75.76,75.93
had,had,75.93,76.06
our,our,76.06,76.18
own,own,76.18,76.35000000000001
shelves,shelves,76.37,76.96000000000001
in,in,76.97,77.08
the,the,77.08,77.19
kitchen,kitchen,77.19,77.61
neatly,neatly,77.62,78.02000000000001
marked,marked,78.02,78.41
with,with,78.41,78.55
our,our,78.55,78.67
names,names,78.67,79.28
and,,,
our,our,79.39,79.51
own,own,79.51,79.68
shelves,shelves,79.68,80.05000000000001
in,in,80.059999,80.139999
the,the,80.139999,80.249999
fridge,fridge,80.25,80.75
upon,upon,80.98,81.29
which,which,81.28999999999999,81.49999999999999
we,we,81.5,81.63
kept,kept,81.63,81.94
our,our,81.94,82.07
own,own,82.07,82.28999999999999
eggs,eggs,82.33,82.86
cheese,cheese,82.929999,83.58999899999999
yogurt,yogurt,83.679999,84.259999
milk,milk,84.66,85.21
I,i,86.25,86.51
was,was,86.52,86.7
always,always,86.71000000000001,87.08000000000001
punctilious,<unk>,87.08,87.78999999999999
about,about,87.799999,88.069999
using,using,88.07,88.44999999999999
only,only,88.529999,88.879999
my,my,88.879999,89.059999
own,own,89.059999,89.28999900000001
provisions,provisions,89.289999,90.099999
Others,others,90.629999,91.049999
were,were,91.05,91.14
not,not,91.14,91.36
so,so,91.38,91.92999999999999
