I,i,8.71,8.840000000000002
began,began,8.990000000000002,9.070000000000002
my,my,9.070000000000002,9.240000000000002
illustrious,<unk>,9.63,10.08
career,career,10.08,10.620000000000001
as,as,10.62,10.76
a,a,10.82,10.94
hard,hard,10.969999,11.339998999999999
boiled,boiled,11.34,11.65
reporter,reporter,11.65,12.33
in,in,12.42,12.51
the,the,12.509999,12.609999
Bronx,bronx,12.61,13.149999999999999
where,where,13.36,13.59
I,i,13.59,13.92
toiled,<unk>,14.219999,14.579998999999999
for,for,14.599999,14.759999
the,the,14.759999,14.889999000000001
Ram,ram,14.9,15.38
uh,uh,16.379999,16.719999
Fordham,fordham,16.74,17.09
University’s,university's,17.09,17.919999999999998
student,student,18.119999,18.429999
newspaper,newspaper,18.469999,19.269999000000002
And,and,19.55,19.71
one,one,19.71,19.880000000000003
day,day,19.88,20.15
I’m,i'm,20.15,20.31
walking,walking,20.31,20.72
toward,toward,20.72,20.939999999999998
the,the,20.94,21.040000000000003
campus,campus,21.12,21.48
center,center,21.48,21.76
and,and,21.759999999999998,21.919999999999998
out,out,21.95,22.18
comes,comes,22.18,22.38
the,the,22.41,22.54
elusive,elusive,22.54,23.169999999999998
Dean,dean,23.6,23.970000000000002
McGowan,<unk>,23.98,24.7
architect,architect,25.34,25.87
of,of,25.87,25.98
a,a,25.98,26.06
policy,policy,26.059998999999998,26.599998999999997
to,to,26.630000000000003,26.740000000000002
replace,replace,26.740000000000002,27.35
traditionally,traditionally,27.509999999999998,28.24
the,the,29.0,29.25
Fordham’s,<unk>,29.309998999999998,29.369998999999996
traditionally,traditionally,30.349999,30.889999
working,working,30.889999,31.589999
to,to,31.599999,31.809999
middle,middle,31.82,32.02
class,class,32.019999999999996,32.31999999999999
students,students,32.33,32.629999999999995
with,with,33.17,33.46
wealthier,wealthier,33.549999,34.329999
more,more,34.629999,34.799999
prestigious,prestigious,34.799999,35.389999
ones,ones,35.43,35.64
So,so,36.269999999999996,36.38999999999999
I,i,36.389999,36.489999000000005
whip,whip,36.54,36.78
out,out,36.78,36.94
my,my,36.94,37.129999999999995
notebook,notebook,37.13,37.54
and,and,37.54,37.67
I,i,37.67,37.870000000000005
march,march,37.94,38.29
right,right,38.29,38.47
up,up,38.48,38.599999999999994
to,to,38.61,38.74
him,him,38.74,38.88
I,i,39.050000000000004,39.09
say,say,39.09,39.330000000000005
Dean,,,
McGowan,<unk>,40.2,40.74
is,is,40.88,41.0
it,it,41.0,41.15
true,true,41.2,41.49
that,that,41.49,41.71
Fordham,fordham,41.74,42.2
plans,plans,42.26,42.669999999999995
to,to,42.67,42.83
raise,raise,42.83,43.15
tuition,tuition,43.15,43.51
substantially,substantially,43.54,44.28
above,above,44.28,44.49
the,the,44.49,44.580000000000005
inflation,inflation,44.58,45.08
rate,rate,45.08,45.35
and,and,45.45,45.61
if,if,45.61,45.73
so,so,45.82,46.27
wouldn’t,wouldn't,46.51,46.72
that,that,46.719999,46.869999
be,be,46.88,46.99
a,a,46.99,47.04
betrayal,betrayal,47.04,47.62
of,of,47.62,47.73
its,its,47.730000000000004,47.900000000000006
mission,mission,47.91,48.37
And,and,49.49,49.620000000000005
he,he,49.62,49.83
looks,looks,49.83,50.05
at,at,50.049999,50.159999
me,me,50.16,50.309999999999995
like,like,50.309999,50.569998999999996
What,what,50.639999,51.079999
are,are,51.389999,51.559999000000005
you,you,51.559999,51.729999
talking,talking,51.82,52.33
about,about,52.34,52.690000000000005
punk,punk,53.269999999999996,53.589999999999996
And,and,54.190000999999995,54.370000999999995
then,then,54.37,54.519999999999996
right,right,54.52,54.78
then,then,54.78,54.96
outta,outta,54.96,55.050000000000004
the,the,55.389999,55.409999000000006
corner,corner,55.41,55.61
of,of,55.61,55.7
my,my,55.7,55.900000000000006
eye,eye,55.95,56.230000000000004
comes,comes,56.25,56.55
this,this,56.56,56.86
blur,blur,57.3,57.949999999999996
which,which,58.26,58.449999999999996
becomes,becomes,58.49,59.02
the,the,59.08,59.23
figure,figure,59.31,60.0
in,in,60.07,60.29
a,a,60.29,60.44
Lone,lone,60.45,60.800000000000004
Ranger’s,ranger's,60.8,61.309999999999995
mask,mask,61.34,61.730000000000004
standing,standing,62.45,62.86
next,next,62.86,63.11
to,to,63.12,63.23
me,me,63.230000000000004,63.6
with,with,63.67,63.86
a,a,63.86,63.91
cream,cream,63.91,64.19
pie,pie,64.19,64.44
which,which,64.44,64.64999999999999
becomes,becomes,64.67,64.99
a,,,
guy,guy,65.139999,65.839999
with,with,66.46000000000001,66.67
a,a,66.67,66.72
cream,cream,66.719999,67.039999
pie,pie,67.03999999999999,67.55999999999999
that,that,67.65,67.85000000000001
he’s,he's,67.87,68.07000000000001
mashing,<unk>,68.21000000000001,68.87
into,into,68.91,69.2
Dean,dean,69.2,69.52
McGowan’s,<unk>,69.52,69.94
face,face,70.12,70.31
And,and,71.94999899999999,72.149999
then,then,72.15,72.4
runs,runs,72.8,73.1
away,away,73.1,73.39999999999999
The,the,75.09,75.2
Dean,dean,75.2,75.7
is,is,76.25,76.29
covered,covered,76.33,76.95
with,with,77.01,77.26
cream,cream,77.26,77.54
So,so,78.43,78.55000000000001
I,i,78.55,78.61
give,give,78.61,78.79
him,him,78.79,78.89
a,a,78.89,78.95
moment,moment,78.95,79.4
and,and,80.76,80.87
then,then,80.87,80.97
I,i,80.97,81.03
say,say,81.03,81.18
Dean,dean,81.179999,81.38999899999999
McGowan,<unk>,81.44,81.95
would,would,81.95,82.04
you,you,82.03999999999999,82.17999999999999
care,care,82.179999,82.399999
to,to,82.4,82.5
comment,comment,82.5,82.89
on,on,83.0,83.13
this,this,83.13,83.16
latest,latest,83.259999,83.649999
attack,attack,83.69,84.14999999999999
And,and,85.049999,85.199999
he,he,85.2,85.32000000000001
says,says,85.33,85.55
Yes,yes,85.59,85.95
I,i,86.53999999999999,86.64999999999999
would,would,86.65,86.84
care,care,86.839999,87.00999900000001
to,to,87.009999,87.099999
comment,comment,87.099999,87.719999
screw,screw,88.32,88.91
you,you,89.289999,89.629999
And,and,90.5,90.64
now,now,90.64,90.76
I,i,90.76,90.88000000000001
race,race,90.88,91.25999999999999
back,back,91.27,91.5
to,to,91.5,91.62
the,the,91.62,91.7
